run_id,Bo,Mo,Sc,E,d,t_detach,Vbubble_detach,yCent_detach,jNorm_detach,mGrowth_detach,dC_detach,kL_detach,dNb_detach,detached,Vbubble_end,yCent_end,jNorm_end,mGrowth_end,dC_end,Aint_end,jNorm_mean,mGrowth_mean,AdCInt
S017,0.91878538,3.49E-12,261.22425,9.3088294,0.17062807,0.0047941,3.21E-13,0.0756878,0.986343,2.26E-19,0.000486967,0.000413255,5.33E-19,1,3.21E-13,0.857362,0.975262,1.15E-18,0.00471512,1.58E-09,0.983908,9.63E-19,1.29E-15
S018,0.42378538,1.10E-14,386.22425,29.058829,0.32062807,0.00441129,1.14E-12,0.139832,0.952272,1.59E-19,0.00109325,4.05E-05,2.28E-19,1,1.14E-12,0.927221,0.940081,2.99E-19,0.0123852,2.27E-09,0.943667,8.02E-19,5.64E-15
S019,0.30003538,1.47E-11,292.47425,24.121329,0.28312807,0.00378312,8.86E-13,0.125055,0.96306,7.22E-18,0.00656924,0.000272019,6.98E-18,1,8.86E-13,0.928288,0.959789,6.16E-17,0.0669566,1.76E-09,0.957004,1.15E-17,2.57E-14
S020,0.79503538,4.66E-14,167.47425,4.3713294,0.13312807,0.00389479,1.96E-13,0.0588254,0.991623,5.63E-20,4.72E-05,0,2.99E-19,1,1.96E-13,0.833293,0.984833,1.70E-20,0.00103494,1.24E-09,0.989977,2.35E-19,4.99E-17
S021,0.54753538,2.62E-10,354.97425,33.996329,0.20812807,0.00454357,4.78E-13,0.0930453,0.979999,5.66E-18,0.00759613,0.000302589,7.68E-18,1,4.78E-13,0.934195,0.975078,4.29E-17,0.0686801,1.81E-09,0.976873,1.61E-17,2.54E-14
S022,0.052535381,8.28E-13,229.97425,14.246329,0.11027651,0.000987511,1.34E-13,0.0481126,0.994367,2.14E-18,0.000370538,0,1.69E-18,1,1.34E-13,0.600364,0.992812,5.77E-18,0.0244219,9.32E-10,0.993206,9.41E-18,8.70E-17
S023,0.11441038,7.17E-12,339.34925,1.9025794,0.22687807,0.00212573,5.69E-13,0.0996934,0.976208,4.19E-19,0.0003118,0.000485863,2.59E-19,1,5.69E-13,0.953305,0.968535,4.63E-18,0.00556202,1.48E-09,0.97231,1.14E-18,5.33E-16
S024,0.60941038,2.27E-14,214.34925,21.652579,0.37687807,0.00569634,1.57E-12,0.165063,0.934177,3.46E-19,0.00218693,2.93E-05,5.09E-19,1,1.57E-12,0.923998,0.913167,1.19E-18,0.0190213,2.32E-09,0.922431,1.05E-18,1.74E-14
S025,0.85691038,1.27E-10,276.84925,11.777579,0.30187807,0.00652693,1.01E-12,0.135531,0.958019,4.40E-18,0.00498607,0.000199445,7.21E-18,1,1.01E-12,0.929403,0.939701,2.87E-17,0.0330348,2.86E-09,0.951299,5.49E-18,3.62E-14
S026,0.36191038,4.03E-13,151.84925,31.527579,0.15187807,0.00290042,2.55E-13,0.066546,0.989248,1.34E-18,0.00150975,0.0019349,3.66E-18,1,2.55E-13,0.970386,0.983713,4.83E-18,0.0271842,1.13E-09,0.987224,6.48E-18,1.89E-15
